condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,14.546528856968507,None,space,14.637455969001167,14.546528856968507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,nogo,1nogo.png,,,0,0,0,10,,,,,,,,,,,,,,,30.25570246600546,32.26117964601144,29.286349695990793,30.289437260944396,None,30.25570246600546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,nogo,1nogo2.png,,,0,1,1,12,,,,,,,,,,,,,,,34.21638759598136,36.2219225539593,33.231688210973516,34.23317677399609,None,34.21638759598136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,nogo,1nogov2.png,,,0,2,2,17,,,,,,,,,,,,,,,38.21043323900085,40.215754480916075,37.22615586896427,38.227262488915585,None,38.21043323900085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,nogo,1nogov1.png,,,0,3,3,16,,,,,,,,,,,,,,,42.220976968994364,44.22626218397636,41.23386292194482,42.2378026410006,None,42.220976968994364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,go,1go1.png,,,0,4,4,1,,,,,,,,,,,,,,,46.19845342100598,None,45.22913465392776,46.23181651590858,space,46.19845342100598,None,0.565211302950047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,nogo,1nogov.png,,,0,5,5,15,,,,,,,,,,,,,,,47.78574686893262,49.79113216896076,46.79996132594533,47.802662163972855,None,47.78574686893262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,go,1gov.png,,,0,6,6,5,,,,,,,,,,,,,,,51.79657565592788,None,50.81091902393382,51.81338371394668,space,51.79657565592788,50.81091902393382,1.2941654769238085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,go,1go2.png,,,0,7,7,2,,,,,,,,,,,,,,,54.11937857896555,None,53.133475168957375,54.136127220932394,space,54.11937857896555,None,0.6891702819848433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,nogo,1nogo3.png,,,0,8,8,13,,,,,,,,,,,,,,,55.84079529601149,57.846094280947,54.85513796901796,55.857511435984634,None,55.84079529601149,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,go,1gov4.png,,,0,9,9,9,,,,,,,,,,,,,,,59.851516485912725,None,58.86555291095283,59.868205394013785,space,59.851516485912725,58.86555291095283,0.6797262399923056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,go,1go.png,,,0,10,10,0,,,,,,,,,,,,,,,61.53932935395278,None,60.57036061096005,61.57295705890283,space,61.53932935395278,None,0.5192166049964726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,nogo,1nogo4.png,,,0,11,11,14,,,,,,,,,,,,,,,63.09370346891228,65.09875893592834,62.1083150759805,63.11036279890686,None,63.09370346891228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,go,1gov1.png,,,0,12,12,6,,,,,,,,,,,,,,,67.08752587100025,None,66.11839291395154,67.1208215339575,space,67.08752587100025,66.11839291395154,0.4786464200587943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
nonsalient,nogo,1nogo1.png,,,0,13,13,11,,,,,,,,,,,,,,,68.59148258401547,70.59703159099445,67.60553451394662,68.60811717400793,None,68.59148258401547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
salient,nogo,1nogov3.png,,,0,14,14,18,,,,,,,,,,,,,,,72.60240883391816,74.60757382400334,71.6161460459698,72.61905255890451,None,72.60240883391816,71.6161460459698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2021_Dec_01_1404,psychophysics_project,2021.2.3,59.79077353446124,
