condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nonsalient,,1go4.png,st,rectangle,,,,,,,,,0,25,25,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.54121685994323,358.5438570929691,358.5104117830051,360.51586241996847,360.51586241996847,None,left,1.0355712649179623,360.51586241996847,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,nonstrv.png,nonst,rectangle,,,,,,,,,0,26,26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.5854372449685,362.58809704496525,362.554666512995,364.56003233999945,364.56003233999945,None,left,0.5951194330118597,364.56003233999945,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,,nonstc4.png,nonst,circle,,,,,,,,,0,27,27,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.19506097293925,366.1977712099906,366.1643570649903,368.169712599949,368.169712599949,None,right,0.6383484330726787,368.169712599949,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,nonstcv4.png,nonst,circle,,,,,,,,,0,28,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.85527439496946,369.8575891779037,369.84081341989804,371.846195452963,371.846195452963,None,left,0.44253526790998876,371.846195452963,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,,1nogo1.png,st,circle,,,,,,,,,0,29,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.3308169749798,373.33336196490563,373.31667352991644,375.3220437800046,375.3220437800046,None,right,0.2944950400851667,375.3220437800046,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,,1go1.png,st,rectangle,,,,,,,,,0,30,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.6564754679566,376.6589437829098,376.64231056999415,378.64771435491275,378.631141257938,None,left,0.35621663508936763,378.631141257938,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,,1nogo3.png,st,circle,,,,,,,,,0,31,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.03223689994775,380.0346775749931,380.0011890679598,382.00653188000433,382.00653188000433,None,left,0.6766846850514412,382.00653188000433,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,1nogov3.png,st,circle,,,,,,,,,0,32,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.725187719916,383.72797843790613,383.6944043979747,385.69991783995647,385.69991783995647,None,left,0.6218889569863677,385.69991783995647,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,,nonstc3.png,nonst,circle,,,,,,,,,0,33,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.36839588498697,387.37104552797973,387.3540979929967,389.35952019295655,389.3428445099853,None,right,0.7673173850635067,389.3428445099853,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,1gov1.png,st,rectangle,,,,,,,,,0,34,34,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.144946974935,391.14787978795357,391.13090774801094,393.13636319793295,393.13636319793295,None,left,0.27214289002586156,393.13636319793295,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,1gov3.png,st,rectangle,,,,,,,,,0,35,35,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.4538079829654,394.45649103296455,394.4231922349427,396.4289012729423,396.4289012729423,None,left,0.2798921950161457,396.4289012729423,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,nonstrv1.png,nonst,rectangle,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.7460476029664,397.74888504797127,397.71520980494097,399.7193303689128,399.7193303689128,None,left,0.25982159201521426,399.7193303689128,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,,1go2.png,st,rectangle,,,,,,,,,0,37,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.02092256990727,401.02342891297303,401.00739419297315,403.01285131298937,403.01285131298937,None,left,0.254367555025965,403.01285131298937,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,nonstrv2.png,nonst,rectangle,,,,,,,,,0,38,38,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.3124457478989,404.31556539493613,404.2814582339488,406.2870287079131,406.2870287079131,None,left,0.003037962014786899,406.2870287079131,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,,1gov2.png,st,rectangle,,,,,,,,,0,39,39,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.3371181349503,407.33980205794796,407.323079062975,409.3295341680059,409.3295341680059,None,left,0.21334223495796323,409.3295341680059,None,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
