condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nonsalient,,1go3.png,st,rectangle,,,,,,,,,0,27,27,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.8169380760519,304.8195057840785,304.8026172789978,306.8080224139849,306.7913046440808,None,right,0.40233791701029986,306.7913046440808,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
salient,,1gov1.png,st,rectangle,,,,,,,,,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.24259825609624,308.24518979399,308.2284859759966,310.2339020590298,310.217209176044,None,left,0.3619922280777246,310.217209176044,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,1go.png,st,rectangle,,,,,,,,,0,29,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.61833260103595,311.6210196510656,311.6041617890587,313.60958216607105,313.59252410102636,None,right,0.4570523099973798,313.59252410102636,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
salient,,nonstcv.png,nonst,circle,,,,,,,,,0,30,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.09419751900714,315.0965408490738,315.0800140739884,317.0854367890861,317.0688686290523,None,left,0.39337309799157083,317.0688686290523,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
salient,,1nogov1.png,st,circle,,,,,,,,,0,31,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.50342137599364,318.5060786009999,318.472483596066,320.47800360107794,320.47800360107794,None,left,0.33583475707564503,320.47800360107794,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
salient,,1gov3.png,st,rectangle,,,,,,,,,0,32,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.86236250109505,321.86473043402657,321.8314633840928,323.83658688899595,323.83658688899595,None,left,0.36624675791244954,323.83658688899595,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,nonstc1.png,nonst,circle,,,,,,,,,0,33,33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.2380314760376,325.2406422740314,325.22402189904824,327.22885635099374,327.22885635099374,None,left,0.6617276149336249,327.22885635099374,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,nonstr3.png,nonst,rectangle,,,,,,,,,0,34,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.93119779403787,328.9339390459936,328.9171729440568,330.9225788860349,330.9225788860349,None,right,0.3636364800622687,330.9225788860349,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,1go4.png,st,rectangle,,,,,,,,,0,35,35,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.32362491905224,332.3263284789864,332.30949866899755,334.31495749100577,334.29819494404364,None,left,0.3510169100482017,334.29819494404364,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,nonstc2.png,nonst,circle,,,,,,,,,0,36,36,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.6992909910623,335.70186492905486,335.6687373610912,337.67377418407705,337.67377418407705,None,left,0.4011408380465582,337.67377418407705,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,nonstr4.png,nonst,rectangle,,,,,,,,,0,37,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.12467036407907,339.127824499039,339.09431531105656,341.09975457401015,341.09975457401015,None,left,0.6138809699332342,341.09975457401015,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
salient,,nonstrv2.png,nonst,rectangle,,,,,,,,,0,38,38,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.7514320909977,342.7540230359882,342.73703636904247,344.74277007905766,344.7259742360329,None,right,0.8494809400290251,344.7259742360329,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
nonsalient,,1nogo.png,st,circle,,,,,,,,,0,39,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.61179037904367,346.6136629550019,346.59655727702193,348.60312043107115,348.60312043107115,None,left,0.7050331899663433,348.60312043107115,None,2,001,2021_Dec_01_1411,psychophysics_project,2021.2.3,59.89867900218623,
