condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nonsalient,,nonstc4.png,nonst,circle,,,,,,,,,0,23,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.66901807207614,258.6715348820435,258.65493936510757,260.6604081870755,260.6604081870755,None,left,0.3631667250301689,260.6604081870755,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,1nogo.png,st,circle,,,,,,,,,0,24,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.06125817704014,262.0640555070713,262.0472445720807,264.0525627770694,264.0525627770694,None,right,0.30663576698862016,264.0525627770694,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,1go1.png,st,rectangle,,,,,,,,,0,25,25,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.4036913519958,265.4061404650565,265.3894524850184,267.39500648505054,267.37813834205735,None,right,0.23082010494545102,267.37813834205735,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,nonstcv.png,nonst,circle,,,,,,,,,0,26,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.6455819150433,268.6483331300551,268.63157220208086,270.63705438701436,270.63705438701436,None,right,0.22888887498993427,270.63705438701436,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,nonstrv3.png,nonst,rectangle,,,,,,,,,0,27,27,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.90441210509744,271.9068697250914,271.89019366702996,273.89562349999323,273.89562349999323,None,right,0.33295842295046896,273.89562349999323,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,1nogo2.png,st,circle,,,,,,,,,0,28,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.2634725921089,275.26600643701386,275.2492822750937,277.2545085470192,277.2545085470192,None,right,0.28177884698379785,277.2545085470192,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,1gov.png,st,rectangle,,,,,,,,,0,29,29,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.57209936203435,278.57460322009865,278.5581523750443,280.56355165003333,280.56355165003333,None,right,0.37983272201381624,280.56355165003333,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,nonstr2.png,nonst,rectangle,,,,,,,,,0,30,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.9814466050593,281.9839473500615,281.96706725202966,283.9726514820941,283.95587194210384,None,left,0.31412621191702783,283.95587194210384,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,nonstr4.png,nonst,rectangle,,,,,,,,,0,31,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.3067058750894,285.3093423600076,285.292634345009,287.2982504920801,287.2982504920801,None,right,0.2965616500005126,287.2982504920801,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,nonstrv1.png,nonst,rectangle,,,,,,,,,0,32,32,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.6323635870358,288.63403593201656,288.6172720500035,290.62357244000304,290.60645579209086,None,right,0.41446936794091016,290.60645579209086,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,1nogov3.png,st,circle,,,,,,,,,0,33,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0580664949957,292.0592644599965,292.04256976000033,294.0496013100492,294.0496013100492,None,left,0.2929530000546947,294.0496013100492,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,nonstcv3.png,nonst,circle,,,,,,,,,0,34,34,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.38398806005716,295.3864094570745,295.369706585072,297.3750667950371,297.3750667950371,None,left,0.39119309303350747,297.3750667950371,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,1go3.png,st,rectangle,,,,,,,,,0,35,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.8094887920888,298.81213814008515,298.795473797014,300.79966498806607,300.79966498806607,None,left,0.4325026290025562,300.79966498806607,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,1nogov2.png,st,circle,,,,,,,,,0,36,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.26859460701235,302.271254447056,302.254528607009,304.2600549320923,304.2600549320923,None,right,0.1779081600252539,304.2600549320923,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,1go2.png,st,rectangle,,,,,,,,,0,37,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.4772530150367,305.47998909500893,305.4634387620026,307.4686576999957,307.4519666850101,None,left,0.30766940291505307,307.4519666850101,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,,1gov2.png,st,rectangle,,,,,,,,,0,38,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.8028853900032,308.8054606100777,308.77212887699716,310.7774470500881,310.7774470500881,None,right,0.2260056500090286,310.7774470500881,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,,nonstr3.png,nonst,rectangle,,,,,,,,,0,39,39,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.04488243500236,312.0475820970023,312.0141433450626,314.0194254820235,314.0194254820235,None,right,0.23784662003163248,314.0194254820235,None,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
