condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,15.643190028029494,None,space,21.92354835208971,15.643190028029494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,go,1go1.png,,,0,0,0,1,,,,,,,,,,,,,,,38.62136195297353,None,37.652096047997475,38.65490371501073,space,1.4809174269903451,38.62136195297353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,nogo,1nogo1.png,,,0,1,1,11,,,,,,,,,,,,,,,41.12821667501703,43.13336805300787,40.14342872996349,41.144966377993114,None,,41.12821667501703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
salient,go,1gov.png,,,0,2,2,5,,,,,,,,,,,,,,,45.13875535305124,None,44.15530811494682,45.15546885796357,space,0.5671765800798312,45.13875535305124,44.15530811494682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,nogo,1nogo4.png,,,0,3,3,14,,,,,,,,,,,,,,,46.7263729829574,48.73163056303747,45.74066233297344,46.742972283042036,None,,46.7263729829574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,go,1go2.png,,,0,4,4,2,,,,,,,,,,,,,,,50.72031289804727,None,49.751063885050826,50.75382293004077,space,0.4922533700009808,50.72031289804727,49.751063885050826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
salient,nogo,1nogov4.png,,,0,5,5,19,,,,,,,,,,,,,,,52.24132817494683,54.24661250296049,51.255282682948746,52.25780757796019,None,,52.24132817494683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,go,1go4.png,,,0,6,6,4,,,,,,,,,,,,,,,56.23525621299632,None,55.265994637971744,56.26852814794984,space,0.4932011519558728,56.23525621299632,55.265994637971744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,nogo,1nogo.png,,,0,7,7,10,,,,,,,,,,,,,,,57.7557383000385,59.76125875802245,56.769835695042275,57.772621392970905,None,,57.7557383000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,nogo,1nogo2.png,,,0,8,8,12,,,,,,,,,,,,,,,61.749753108015284,63.75508433498908,60.78059200802818,61.78327595000155,None,,61.749753108015284,60.78059200802818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
nonsalient,go,1go.png,,,0,9,9,0,,,,,,,,,,,,,,,65.74387570295949,None,64.77451747294981,65.77726203296334,space,0.5142784599447623,65.74387570295949,64.77451747294981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Dec_01_1432,psychophysics_project,2021.2.3,60.23235604121339,
