condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.931116643943824,None,space,10.836785209947266,12.931116643943824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,nogo,1nogov3.png,,,0,0,0,18,,,,,,,,,,,,,,,24.84092403901741,26.846678811940365,23.854489936027676,24.85812755196821,None,24.84092403901741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,nogo,1nogo4.png,,,0,1,1,14,,,,,,,,,,,,,,,28.801882404019125,30.80714182695374,27.81709738401696,28.818431678926572,None,28.801882404019125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,go,1gov4.png,,,0,2,2,9,,,,,,,,,,,,,,,32.79575741197914,None,31.811030383920297,32.81237503699958,space,32.79575741197914,None,0.7316279379883781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,nogo,1nogov1.png,,,0,3,3,16,,,,,,,,,,,,,,,34.55047072202433,36.55586559697986,33.5646487219492,34.56719194399193,None,34.55047072202433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,nogo,1nogov.png,,,0,4,4,15,,,,,,,,,,,,,,,38.56118904694449,40.56650165701285,37.57530711195432,38.57785252702888,None,38.56118904694449,37.57530711195432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,nogo,1nogo1.png,,,0,5,5,11,,,,,,,,,,,,,,,42.571845853934065,44.57736459397711,41.585921327001415,42.588559214025736,None,42.571845853934065,41.585921327001415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,nogo,1nogo3.png,,,0,6,6,13,,,,,,,,,,,,,,,46.581253106938675,48.588084771996364,45.5962938539451,46.59941256698221,None,46.581253106938675,45.5962938539451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,go,1go2.png,,,0,7,7,2,,,,,,,,,,,,,,,50.57656312198378,None,49.60762726899702,50.61013349192217,space,50.57656312198378,49.60762726899702,0.7046078679850325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,go,1go1.png,,,0,8,8,1,,,,,,,,,,,,,,,52.29789746191818,None,51.32870168692898,52.33128763199784,space,52.29789746191818,None,0.6397935849381611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,go,1gov1.png,,,0,9,9,6,,,,,,,,,,,,,,,53.95143708400428,None,52.98310107202269,53.985824601957574,space,53.95143708400428,None,0.5381832319544628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,nogo,1nogov4.png,,,0,10,10,19,,,,,,,,,,,,,,,55.523116732016206,57.52870014694054,54.53591750992928,55.53994242392946,None,55.523116732016206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,nogo,1nogo.png,,,0,11,11,10,,,,,,,,,,,,,,,59.517287436989136,61.52252493693959,58.5479954269249,59.550649321987294,None,59.517287436989136,58.5479954269249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,go,1gov3.png,,,0,12,12,8,,,,,,,,,,,,,,,63.511162853916176,None,62.54192962392699,63.544693026924506,space,63.511162853916176,62.54192962392699,0.7597372379386798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,go,1go4.png,,,0,13,13,4,,,,,,,,,,,,,,,65.29916611895896,None,64.31331322202459,65.31603840691969,space,65.29916611895896,None,0.6164007829502225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,nogo,1nogov2.png,,,0,14,14,17,,,,,,,,,,,,,,,66.93709336698521,68.9424196119653,65.95102633396164,66.95371761696879,None,66.93709336698521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,go,1go3.png,,,0,15,15,3,,,,,,,,,,,,,,,70.94774438196328,None,69.96180116396863,70.96435030200519,space,70.94774438196328,69.96180116396863,0.7007877620635554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,go,1gov.png,,,0,16,16,5,,,,,,,,,,,,,,,72.6690441169776,None,71.68296336696949,72.68561489193235,space,72.6690441169776,None,0.5082853980129585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,go,1go.png,,,0,17,17,0,,,,,,,,,,,,,,,74.2063830490224,None,73.22039744898211,74.2231107269181,space,74.2063830490224,None,0.48794206499587744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,nogo,1nogo2.png,,,0,18,18,12,,,,,,,,,,,,,,,75.71037374902517,77.7157518370077,74.7411590720294,75.743840866955,None,75.71037374902517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,go,1gov2.png,,,0,19,19,7,,,,,,,,,,,,,,,79.70430282200687,None,78.73513901699334,79.73772657394875,space,79.70430282200687,78.73513901699334,0.7284132699714974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.45651959895622,None,space,8.784898504964076,80.45651959895622,None,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,nogo,2nogo3.png,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,89.28026790893637,90.28268511395436,90.26596194400918,92.27125724696089,None,90.26596194400918,None,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
salient,nogo,2nogov4.png,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,93.29057516693138,94.29345696396194,94.27678057400044,96.28192488395143,None,94.27678057400044,None,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
nonsalient,go,2go4.png,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,97.28363295597956,98.2874088420067,98.27067102398723,None,space,98.27067102398723,None,0.5785507330438122,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1418,psychophysics_project,2021.2.3,59.72779165271278,
